epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9246,2.18033,8.29428,0.0096,0.28701,0.46057,0.32659,0.16561,1.65992,3.06572,0.01431,0.000410354,0.000410354,0.000410354
2,94.3132,1.56678,1.77241,0.00617,0.412,0.63643,0.51543,0.30499,1.31447,1.32863,0.01076,0.000818833,0.000818833,0.000818833
3,141.879,1.46844,1.34481,0.006,0.28192,0.2283,0.23028,0.12094,1.88397,2.29915,0.01887,0.00121906,0.00121906,0.00121906
4,188.89,1.41633,1.17041,0.00566,0.44753,0.77155,0.56092,0.31507,1.41683,1.5363,0.01261,0.00121287,0.00121287,0.00121287
5,237.111,1.39988,1.06875,0.00552,0.47048,0.79251,0.57958,0.26991,2.01056,1.2366,0.02204,0.0012005,0.0012005,0.0012005
6,283.406,1.32327,0.96451,0.00505,0.43361,0.7389,0.50139,0.28609,1.36682,1.6074,0.01115,0.00118812,0.00118812,0.00118812
7,329.294,1.26158,0.88021,0.0049,0.52821,0.7641,0.6094,0.36203,1.2602,1.10195,0.01012,0.00117575,0.00117575,0.00117575
8,377.355,1.24484,0.8565,0.00479,0.59551,0.81754,0.71958,0.43854,1.25441,0.73775,0.01045,0.00116337,0.00116337,0.00116337
9,425.245,1.20723,0.78703,0.00459,0.58149,0.76062,0.6962,0.42901,1.21768,0.97246,0.00966,0.001151,0.001151,0.001151
10,478.271,1.16156,0.76457,0.00442,0.63734,0.80091,0.75055,0.45247,1.17667,1.00748,0.00884,0.00113863,0.00113863,0.00113863
11,527.1,1.14066,0.65084,0.00446,0.59115,0.76462,0.68895,0.41907,1.24185,1.4022,0.00977,0.00112625,0.00112625,0.00112625
12,573.15,1.11101,0.62312,0.00408,0.77413,0.83589,0.85982,0.52437,1.16845,0.66825,0.00892,0.00111388,0.00111388,0.00111388
13,621.055,1.04543,0.62462,0.00386,0.78183,0.79621,0.85511,0.52603,1.1648,0.68375,0.00898,0.0011015,0.0011015,0.0011015
14,669.445,1.03613,0.49162,0.00366,0.67248,0.78048,0.75426,0.46518,1.21821,0.76778,0.00968,0.00108913,0.00108913,0.00108913
15,715.849,1.04952,0.54625,0.00367,0.69181,0.81865,0.81014,0.50692,1.10654,0.67855,0.00799,0.00107675,0.00107675,0.00107675
16,762.229,0.98299,0.46259,0.00349,0.83354,0.83304,0.89283,0.54685,1.07664,0.61357,0.0072,0.00106437,0.00106437,0.00106437
17,812.954,0.99597,0.4451,0.00373,0.70185,0.74049,0.74585,0.4615,1.24584,1.92969,0.01054,0.001052,0.001052,0.001052
18,859.385,0.95106,0.43783,0.00339,0.78152,0.81385,0.82081,0.50418,1.14392,1.51278,0.00856,0.00103962,0.00103962,0.00103962
19,906.054,0.91801,0.38388,0.00323,0.78987,0.88197,0.86672,0.53924,1.10012,0.64398,0.0079,0.00102725,0.00102725,0.00102725
20,953.233,0.88256,0.3271,0.00321,0.83169,0.8896,0.90688,0.56593,1.10051,0.55473,0.00809,0.00101488,0.00101488,0.00101488
21,1004.54,0.82246,0.30916,0.00292,0.8582,0.8577,0.87834,0.56364,1.04929,0.64376,0.00749,0.0010025,0.0010025,0.0010025
22,1053.32,0.79477,0.28054,0.0028,0.85785,0.86355,0.8964,0.56082,1.06416,0.56876,0.00767,0.000990125,0.000990125,0.000990125
23,1101.4,0.76896,0.27044,0.0028,0.86515,0.8216,0.89627,0.55421,1.13049,0.61811,0.00874,0.00097775,0.00097775,0.00097775
24,1149.58,0.74755,0.25576,0.00267,0.89009,0.87307,0.90969,0.5698,1.10811,0.63412,0.0083,0.000965375,0.000965375,0.000965375
25,1202.82,0.7052,0.22731,0.00246,0.89319,0.89298,0.91656,0.57822,1.12694,0.54713,0.00864,0.000953,0.000953,0.000953
26,1256.22,0.67948,0.22353,0.00222,0.87726,0.8752,0.89306,0.56161,1.14315,1.07859,0.00893,0.000940625,0.000940625,0.000940625
27,1302.92,0.65517,0.21892,0.00219,0.8881,0.8772,0.90707,0.55817,1.12194,0.74498,0.00832,0.00092825,0.00092825,0.00092825
28,1349.54,0.64748,0.21409,0.0022,0.87444,0.86068,0.89615,0.56196,1.12599,0.64408,0.00869,0.000915875,0.000915875,0.000915875
29,1397.94,0.62465,0.20678,0.00213,0.86084,0.86337,0.87058,0.54522,1.06382,0.77259,0.00746,0.0009035,0.0009035,0.0009035
30,1445.18,0.61356,0.20713,0.0021,0.86048,0.90603,0.90562,0.57175,1.07305,0.58269,0.00773,0.000891125,0.000891125,0.000891125
31,1491.72,0.55632,0.1795,0.00186,0.87695,0.88938,0.89611,0.5605,1.0678,0.62858,0.00751,0.00087875,0.00087875,0.00087875
32,1538.17,0.57326,0.18908,0.0019,0.90475,0.8596,0.89903,0.56444,1.08037,0.64926,0.00792,0.000866375,0.000866375,0.000866375
33,1585.35,0.53651,0.17141,0.00183,0.89099,0.86607,0.90746,0.57997,1.03985,0.61793,0.00717,0.000854,0.000854,0.000854
34,1633.83,0.53416,0.17866,0.00171,0.89305,0.86088,0.89784,0.56954,1.09319,0.60729,0.00817,0.000841625,0.000841625,0.000841625
35,1682.25,0.53272,0.17397,0.00174,0.86886,0.90032,0.90278,0.5684,1.10943,0.63333,0.00826,0.00082925,0.00082925,0.00082925
36,1729.17,0.51288,0.17038,0.00162,0.87861,0.882,0.89531,0.5606,1.09182,0.72661,0.00803,0.000816875,0.000816875,0.000816875
37,1775.58,0.50405,0.17216,0.00164,0.8772,0.88416,0.89809,0.56561,1.04368,0.75136,0.00729,0.0008045,0.0008045,0.0008045
