epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
38,1822.04,0.49516,0.1662,0.00158,0.86866,0.86903,0.86881,0.53823,1.14103,0.8624,0.00898,0.000792125,0.000792125,0.000792125
39,1868.05,0.46506,0.15383,0.00158,0.86422,0.88658,0.89237,0.56384,1.13368,0.68577,0.00879,0.00077975,0.00077975,0.00077975
40,1913.85,0.45474,0.15263,0.00156,0.87307,0.88788,0.90308,0.56917,1.06642,0.63395,0.00768,0.000767375,0.000767375,0.000767375
41,1960.12,0.44223,0.15021,0.00145,0.87407,0.88398,0.89205,0.56379,1.08015,0.6764,0.00788,0.000755,0.000755,0.000755
42,2005.92,0.42883,0.14528,0.0013,0.85973,0.87534,0.88141,0.56165,1.10388,0.73477,0.00824,0.000742625,0.000742625,0.000742625
43,2051.74,0.45351,0.14832,0.00142,0.88968,0.85375,0.89019,0.56491,1.08568,0.6844,0.00798,0.00073025,0.00073025,0.00073025
44,2097.89,0.40749,0.13486,0.00135,0.87149,0.87214,0.88567,0.5597,1.08866,0.73101,0.00805,0.000717875,0.000717875,0.000717875
45,2143.85,0.39135,0.12968,0.00123,0.86775,0.89919,0.90372,0.57349,1.07778,0.69187,0.00789,0.0007055,0.0007055,0.0007055
46,2190.61,0.3933,0.12955,0.00123,0.86952,0.89465,0.90249,0.57435,1.07761,0.67806,0.00781,0.000693125,0.000693125,0.000693125
47,2236.72,0.38648,0.13064,0.0012,0.87643,0.8776,0.88362,0.56154,1.08597,0.76521,0.0081,0.00068075,0.00068075,0.00068075
48,2282.95,0.35574,0.12096,0.00109,0.87312,0.89223,0.89213,0.56695,1.03946,0.68267,0.00723,0.000668375,0.000668375,0.000668375
49,2329.25,0.34667,0.11916,0.00105,0.87301,0.90896,0.90288,0.57379,1.04589,0.68804,0.00734,0.000656,0.000656,0.000656
50,2376.01,0.3553,0.11821,0.00103,0.88968,0.88979,0.89936,0.56558,1.08049,0.70672,0.00792,0.000643625,0.000643625,0.000643625
51,2423.07,0.35708,0.11923,0.00102,0.88335,0.89294,0.90377,0.57803,1.08411,0.66251,0.00808,0.00063125,0.00063125,0.00063125
52,2470.14,0.31827,0.10705,0.00097,0.87559,0.88389,0.89338,0.56875,1.09202,0.69475,0.00808,0.000618875,0.000618875,0.000618875
53,2516.69,0.32487,0.10597,0.00097,0.87716,0.89447,0.89426,0.57247,1.08089,0.74689,0.008,0.0006065,0.0006065,0.0006065
