epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.4926,2.04908,3.88616,1.53129,0,0,0,0,nan,nan,nan,0.0038679,0.0038679,0.0637444
2,117.465,1.712,2.32166,1.25735,0.02881,0.1726,0.01346,0.00624,nan,nan,nan,0.00740944,0.00740944,0.0265452
3,154.752,1.55674,2.08576,1.2032,0.08246,0.38365,0.07763,0.0344,2.05113,8.62096,1.88099,0.00868564,0.00868564,0.00868564
4,192.792,1.48426,1.94001,1.15973,0.13376,0.42141,0.11903,0.04236,2.07851,3.83811,1.80032,0.00820846,0.00820846,0.00820846
5,230.299,1.38659,1.81613,1.12288,0.21114,0.70991,0.29665,0.15404,1.39313,2.25562,1.34913,0.00773128,0.00773128,0.00773128
6,267.659,1.31408,1.71073,1.08298,0.23106,0.80386,0.32969,0.14922,1.89168,2.04466,1.72448,0.0072541,0.0072541,0.0072541
7,305.756,1.26481,1.64157,1.06996,0.22534,0.87256,0.36068,0.21056,1.28596,1.76954,1.23978,0.00677692,0.00677692,0.00677692
8,342.831,1.22405,1.57485,1.04107,0.25219,0.88541,0.42233,0.25004,1.2411,1.41176,1.20695,0.00629974,0.00629974,0.00629974
9,380.895,1.1781,1.5024,1.0193,0.27061,0.8582,0.43274,0.26497,1.21406,1.76116,1.23438,0.00582256,0.00582256,0.00582256
10,418.127,1.1318,1.47269,1.00902,0.25193,0.86831,0.41682,0.23299,1.35019,1.89239,1.35327,0.00534538,0.00534538,0.00534538
11,457.912,1.08004,1.43192,0.99426,0.26377,0.77874,0.39574,0.23391,1.30922,2.08066,1.34331,0.0048682,0.0048682,0.0048682
12,494.984,1.02059,1.38045,0.96463,0.27827,0.88673,0.48676,0.2922,1.23773,1.31412,1.25499,0.00439102,0.00439102,0.00439102
13,532.015,0.95954,1.30719,0.94111,0.32833,0.7309,0.50336,0.3019,1.29712,1.38972,1.39694,0.00391384,0.00391384,0.00391384
14,570.335,0.92066,1.23996,0.92513,0.30346,0.81759,0.49948,0.29992,1.26937,1.41162,1.39009,0.00343666,0.00343666,0.00343666
15,607.081,0.86539,1.17231,0.90228,0.35786,0.70771,0.53545,0.33014,1.1642,1.29449,1.26222,0.00295948,0.00295948,0.00295948
16,645.044,0.82167,1.08035,0.8866,0.46197,0.69535,0.60578,0.37659,1.19497,1.39809,1.36266,0.0024823,0.0024823,0.0024823
17,681.961,0.77372,1.01954,0.86736,0.53139,0.61685,0.61542,0.37604,1.17274,1.22124,1.32783,0.00200512,0.00200512,0.00200512
18,719.312,0.73331,0.92125,0.85248,0.60786,0.71475,0.68729,0.43145,1.14343,1.09165,1.35596,0.00152794,0.00152794,0.00152794
19,757.169,0.66894,0.8123,0.83361,0.63961,0.71314,0.69108,0.4329,1.13522,1.1043,1.31779,0.00105076,0.00105076,0.00105076
20,793.713,0.61685,0.72124,0.81641,0.59899,0.71784,0.67202,0.4245,1.13817,1.13447,1.36644,0.00057358,0.00057358,0.00057358
